Date,Site ID,POC,Daily Mean PM10 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
01/23/2020,60370016,3,13,12,Glendora,1,100,34.14435,-117.85036
01/24/2020,60370016,3,17,16,Glendora,1,100,34.14435,-117.85036
01/25/2020,60370016,3,23,21,Glendora,1,100,34.14435,-117.85036
01/26/2020,60370016,3,42,39,Glendora,1,100,34.14435,-117.85036
01/27/2020,60370016,3,27,25,Glendora,1,100,34.14435,-117.85036
01/28/2020,60370016,3,13,12,Glendora,1,100,34.14435,-117.85036
01/29/2020,60370016,3,30,28,Glendora,1,100,34.14435,-117.85036
01/30/2020,60370016,3,20,19,Glendora,1,100,34.14435,-117.85036
01/31/2020,60370016,3,14,13,Glendora,1,100,34.14435,-117.85036
02/01/2020,60370016,3,7,6,Glendora,1,100,34.14435,-117.85036
02/02/2020,60370016,3,13,12,Glendora,1,100,34.14435,-117.85036
02/03/2020,60370016,3,19,18,Glendora,1,100,34.14435,-117.85036
02/04/2020,60370016,3,18,17,Glendora,1,100,34.14435,-117.85036
02/05/2020,60370016,3,16,15,Glendora,1,100,34.14435,-117.85036
02/06/2020,60370016,3,22,20,Glendora,1,100,34.14435,-117.85036
02/07/2020,60370016,3,33,31,Glendora,1,100,34.14435,-117.85036
02/08/2020,60370016,3,35,32,Glendora,1,100,34.14435,-117.85036
02/09/2020,60370016,3,17,16,Glendora,1,100,34.14435,-117.85036
02/10/2020,60370016,3,11,10,Glendora,1,100,34.14435,-117.85036
02/11/2020,60370016,3,21,19,Glendora,1,100,34.14435,-117.85036
02/12/2020,60370016,3,26,24,Glendora,1,100,34.14435,-117.85036
02/13/2020,60370016,3,29,27,Glendora,1,100,34.14435,-117.85036
02/14/2020,60370016,3,31,29,Glendora,1,100,34.14435,-117.85036
02/15/2020,60370016,3,28,26,Glendora,1,100,34.14435,-117.85036
02/16/2020,60370016,3,30,28,Glendora,1,100,34.14435,-117.85036
02/17/2020,60370016,3,34,31,Glendora,1,100,34.14435,-117.85036
02/18/2020,60370016,3,36,33,Glendora,1,100,34.14435,-117.85036
02/19/2020,60370016,3,41,38,Glendora,1,100,34.14435,-117.85036
02/20/2020,60370016,3,21,19,Glendora,1,100,34.14435,-117.85036
02/21/2020,60370016,3,20,19,Glendora,1,100,34.14435,-117.85036
02/22/2020,60370016,3,10,9,Glendora,1,100,34.14435,-117.85036
02/23/2020,60370016,3,19,18,Glendora,1,100,34.14435,-117.85036
02/24/2020,60370016,3,29,27,Glendora,1,100,34.14435,-117.85036
02/25/2020,60370016,3,18,17,Glendora,1,100,34.14435,-117.85036
02/26/2020,60370016,3,16,15,Glendora,1,100,34.14435,-117.85036
02/27/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
02/28/2020,60370016,3,11,10,Glendora,1,100,34.14435,-117.85036
02/29/2020,60370016,3,14,13,Glendora,1,100,34.14435,-117.85036
03/01/2020,60370016,3,16,15,Glendora,1,100,34.14435,-117.85036
03/02/2020,60370016,3,19,18,Glendora,1,100,34.14435,-117.85036
03/03/2020,60370016,3,12,11,Glendora,1,100,34.14435,-117.85036
03/04/2020,60370016,3,27,25,Glendora,1,100,34.14435,-117.85036
03/05/2020,60370016,3,34,31,Glendora,1,100,34.14435,-117.85036
03/06/2020,60370016,3,37,34,Glendora,1,100,34.14435,-117.85036
03/07/2020,60370016,3,12,11,Glendora,1,100,34.14435,-117.85036
03/08/2020,60370016,3,4,4,Glendora,1,100,34.14435,-117.85036
03/09/2020,60370016,3,13,12,Glendora,1,100,34.14435,-117.85036
03/10/2020,60370016,3,5,5,Glendora,1,100,34.14435,-117.85036
03/11/2020,60370016,3,8,7,Glendora,1,100,34.14435,-117.85036
03/12/2020,60370016,3,6,6,Glendora,1,100,34.14435,-117.85036
03/13/2020,60370016,3,5,5,Glendora,1,100,34.14435,-117.85036
03/14/2020,60370016,3,7,6,Glendora,1,100,34.14435,-117.85036
03/15/2020,60370016,3,7,6,Glendora,1,100,34.14435,-117.85036
03/16/2020,60370016,3,9,8,Glendora,1,100,34.14435,-117.85036
03/25/2020,60370016,3,10,9,Glendora,1,100,34.14435,-117.85036
03/26/2020,60370016,3,8,7,Glendora,1,100,34.14435,-117.85036
03/27/2020,60370016,3,10,9,Glendora,1,100,34.14435,-117.85036
03/28/2020,60370016,3,14,13,Glendora,1,100,34.14435,-117.85036
03/29/2020,60370016,3,17,16,Glendora,1,100,34.14435,-117.85036
03/30/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
03/31/2020,60370016,3,21,19,Glendora,1,100,34.14435,-117.85036
04/01/2020,60370016,3,24,22,Glendora,1,100,34.14435,-117.85036
04/02/2020,60370016,3,21,19,Glendora,1,100,34.14435,-117.85036
04/03/2020,60370016,3,26,24,Glendora,1,100,34.14435,-117.85036
04/04/2020,60370016,3,22,20,Glendora,1,100,34.14435,-117.85036
04/05/2020,60370016,3,10,9,Glendora,1,100,34.14435,-117.85036
04/06/2020,60370016,3,2,2,Glendora,1,100,34.14435,-117.85036
04/07/2020,60370016,3,5,5,Glendora,1,100,34.14435,-117.85036
04/08/2020,60370016,3,5,5,Glendora,1,100,34.14435,-117.85036
04/09/2020,60370016,3,3,3,Glendora,1,100,34.14435,-117.85036
04/10/2020,60370016,3,4,4,Glendora,1,100,34.14435,-117.85036
04/11/2020,60370016,3,10,9,Glendora,1,100,34.14435,-117.85036
04/12/2020,60370016,3,6,6,Glendora,1,100,34.14435,-117.85036
04/13/2020,60370016,3,8,7,Glendora,1,100,34.14435,-117.85036
04/14/2020,60370016,3,13,12,Glendora,1,100,34.14435,-117.85036
04/16/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
04/17/2020,60370016,3,13,12,Glendora,1,100,34.14435,-117.85036
